centre_number,orbit_index,x,y,local_dimension,intercept,r_squared,fit_points,min_fit_count,max_fit_count,estimator,fit_min_radius,fit_max_radius,fit_min_mass,fit_max_mass
202,18190,0.5467902424082325,0.20080816308511226,1.3813521408122293,0.2843255770025251,0.9890909829223014,18,15,1947,knn,0.0018890991442594917,0.07565409574609201,0.0003,0.03894
203,18384,0.4174124483284154,0.14993881086328195,1.4816279553950145,0.11584626781887285,0.9624823758681911,18,15,1947,knn,0.0030176013532151372,0.07233892253763499,0.0003,0.03894
204,18536,0.7323312185620475,0.16294256696051992,1.6452404461663996,1.1886849920482696,0.9501922380971513,18,15,1947,knn,0.004658666358532734,0.0788675282468172,0.0003,0.03894
205,18577,0.41359653630802923,-0.242844016643711,1.1153330062027431,-1.4936549093226028,0.9864680219371442,18,15,1947,knn,0.002507122871531817,0.13954692656508688,0.0003,0.03894
206,18764,0.7120682236264181,0.09514941585403969,1.6042776332521933,0.8500054866945146,0.9794461316282551,18,15,1947,knn,0.00420882536481484,0.07663451321400379,0.0003,0.03894
207,18866,0.6880339450305022,-0.2006733398079346,1.2244617981475827,-1.3061209254341843,0.9955052072206493,18,15,1947,knn,0.003975548585181899,0.1596545193031113,0.0003,0.03894
208,18878,-0.3818656382690779,-0.25401602592456146,1.103222124038204,-1.8741050752050497,0.9482160641532655,18,15,1947,knn,0.0024773351227169197,0.18113413763754532,0.0003,0.03894
209,18927,0.3294783182629572,0.2023884870274418,1.371532267570892,0.9049866506376482,0.9773743357973995,18,15,1947,knn,0.0009601393469443373,0.045038492891864575,0.0003,0.03894
210,18948,0.999620908744552,0.11691345070475047,1.3988061737334982,0.9601580810221106,0.9922678348801864,18,15,1947,knn,0.0018205144520980854,0.05948572200877446,0.0003,0.03894
211,18972,0.49236779373135914,0.20856979149917113,1.2606369927265646,-0.07533130845618449,0.9884776129633782,18,15,1947,knn,0.00145373100891733,0.06993925176877193,0.0003,0.03894
212,19171,-0.12148246025258391,-0.3091691695185216,1.0925643087594326,-1.5762346681751507,0.9949197371358974,18,15,1947,knn,0.001996902797472658,0.20247180159552403,0.0003,0.03894
213,19254,0.1632465982600488,0.2519321166763243,1.2326094436298916,-0.4968218692303311,0.9941052677500547,18,15,1947,knn,0.001951606284685033,0.11016584635878271,0.0003,0.03894
214,19367,-1.282153217400743,0.38085769935469255,0.7504161160356648,-1.4370406091709118,0.9130467599019428,18,15,1947,knn,0.0003741912623880886,0.14826803695510032,0.0003,0.03894
215,19408,-0.5442268565857145,-0.2731337708142659,1.104038563286855,-1.4162880377893936,0.9918503978001328,18,15,1947,knn,0.002975119446008116,0.20414313528145095,0.0003,0.03894
216,19641,0.7058791130998696,0.17481909475553936,1.3804335778720416,0.314321423770237,0.990432290901602,18,15,1947,knn,0.002667359885470292,0.07912870003625647,0.0003,0.03894
217,19708,1.08982700770054,0.09218014704326467,1.4839507893475252,1.510352003599136,0.9800343334947467,18,15,1947,knn,0.0015069372777698703,0.0549163502610724,0.0003,0.03894
218,19780,0.5919306122939756,0.0988431629804248,1.1535976287786738,-0.8204473930930688,0.9820825020929836,18,15,1947,knn,0.0012183736526016316,0.08965424846098888,0.0003,0.03894
219,20152,0.12924250298175338,-0.279472042632735,0.9780691545913661,-1.9341104172101122,0.9932437759413338,18,15,1947,knn,0.0015569247988836293,0.19510278343289228,0.0003,0.03894
220,20169,1.1748021287008026,0.0671950494010225,1.2649706856297207,0.07593012271392588,0.998100057689969,18,15,1947,knn,0.0013650896057604285,0.07409717781193775,0.0003,0.03894
221,20199,-0.9023328390660201,-0.38319043925590174,0.7741052275412245,-2.2205508183416085,0.9633939355470368,18,15,1947,knn,0.0009400266135476428,0.3909663319620712,0.0003,0.03894
222,20463,-1.1840074694129372,0.369259289575588,1.1476506334414334,-0.6493189989419884,0.9907300699338202,18,15,1947,knn,0.001247440992233958,0.09089481697119509,0.0003,0.03894
223,20645,0.7667650579204518,0.1579979122390436,1.565954146200837,0.9312093101642639,0.9613510720736852,18,15,1947,knn,0.003818006344593516,0.08684719829300154,0.0003,0.03894
224,20845,-0.35908096209135504,-0.3325719936947343,1.0362669827909852,-1.694882158053166,0.9907644680730912,18,15,1947,knn,0.0017513275644218083,0.17746750521254476,0.0003,0.03894
225,20923,-0.8030810441669474,0.3292351283904977,1.196108421332209,-0.7008974056273144,0.9957691535817745,18,15,1947,knn,0.0021046437338564745,0.12853474848095098,0.0003,0.03894
226,21124,-0.8031724826668707,0.346399186855197,1.3437877689223612,-0.2979545113849053,0.9888575694818389,18,15,1947,knn,0.0029182720020019086,0.12794341593348807,0.0003,0.03894
227,21146,1.0467668513366033,-0.12355514985747817,1.3369173338100637,0.10035640024343181,0.9866341973029076,18,15,1947,knn,0.002142075093252147,0.09357284183665417,0.0003,0.03894
228,21159,1.1195897315764816,-0.0997153737050043,1.059497595672133,-0.6296772569441926,0.9926966252639007,18,15,1947,knn,0.0006552638527330009,0.08826336457631176,0.0003,0.03894
